                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.97635,                 1.9857,                 1.0709,                 1.0215,                0.35805,                0.17073,                0.25368,                0.15704,                 0.2046,                0.09756,                0.11386,                0.04617,                 1.1347,                 4.1114,                 2.4862,                 1.2306,             0.00051192,             0.00051192,             0.00051192
                     25,                  0.922,                 2.2247,                 1.1167,                  1.003,                0.32445,                0.19927,                0.24559,                0.16027,                0.07948,                0.04878,                0.10345,                0.04187,                 1.1196,                 4.1405,                 2.4406,                 1.2304,              0.0005143,              0.0005143,              0.0005143
                     26,                 1.0628,                 2.1963,                 1.3044,                 1.1387,                0.29513,                0.19512,                0.25764,                 0.1735,                0.39776,                0.07317,                0.11649,                0.04179,                 1.1259,                 4.1859,                 2.3592,                  1.226,              0.0005151,              0.0005151,              0.0005151
                     27,                 1.0049,                 2.0722,                 1.1139,                 1.0425,                0.31614,                0.22566,                0.31553,                0.20084,                0.19215,                 0.1394,                0.16025,                0.06777,                 1.1214,                  4.191,                 2.3071,                 1.1972,             0.00051431,             0.00051431,             0.00051431
                     28,                0.99206,                 2.0453,                 1.1888,                 1.0048,                0.31614,                0.22566,                0.31553,                0.20084,                0.19215,                 0.1394,                0.16025,                0.06777,                 1.1214,                  4.191,                 2.3071,                 1.1972,             0.00051194,             0.00051194,             0.00051194
                     29,                 1.0435,                   2.29,                 1.1461,                  1.051,                0.35401,                0.32087,                0.28221,                 0.1879,                0.24026,                0.21951,                0.15109,                0.06284,                 1.1187,                 3.9834,                 2.2669,                 1.1871,             0.00050798,             0.00050798,             0.00050798
                     30,                 1.0381,                 2.0558,                 1.1054,                  1.018,                0.40423,                0.31707,                0.30556,                 0.2108,                0.24288,                0.19512,                0.11337,                 0.0693,                 1.1251,                  3.573,                 2.1815,                 1.2446,             0.00050244,             0.00050244,             0.00050244
                     31,                0.93493,                 1.8615,                 1.0916,                 1.0381,                0.40423,                0.31707,                0.30556,                 0.2108,                0.24288,                0.19512,                0.11337,                 0.0693,                 1.1251,                  3.573,                 2.1815,                 1.2446,             0.00049532,             0.00049532,             0.00049532
                     32,                0.90031,                 2.1088,                 1.2018,                 1.0095,                0.42066,                0.35437,                0.32177,                0.21002,                0.28365,                 0.2439,                0.14208,                0.08144,                 1.0952,                 3.3014,                 2.1243,                 1.2196,             0.00048661,             0.00048661,             0.00048661
                     33,                0.92415,                 1.7589,                 1.0606,                0.98908,                0.45099,                0.38084,                0.32898,                 0.2171,                0.30905,                0.26196,                0.16638,                0.09935,                 1.0435,                 3.1989,                   2.07,                 1.1901,             0.00047632,             0.00047632,             0.00047632
                     34,                0.96019,                 1.9846,                 1.1216,                  1.022,                0.45099,                0.38084,                0.32898,                 0.2171,                0.30905,                0.26196,                0.16638,                0.09935,                 1.0435,                 3.1989,                   2.07,                 1.1901,             0.00046444,             0.00046444,             0.00046444
                     35,                0.88188,                 1.9604,                 1.0305,                 1.0093,                0.49183,                0.39024,                0.37402,                0.24923,                0.33057,                0.29268,                 0.2081,                0.11538,                 1.0446,                 3.0172,                 2.0564,                 1.1923,             0.00045098,             0.00045098,             0.00045098
                     36,                 0.9727,                 1.9143,                0.98954,                0.96818,                0.44455,                  0.371,                0.33974,                0.22437,                0.33262,                0.26829,                0.19678,                 0.1072,                  1.058,                 2.9668,                 2.0488,                 1.1912,             0.00043594,             0.00043594,             0.00043594
                     37,                0.89079,                 1.7483,                  1.078,                 0.9807,                0.44455,                  0.371,                0.33974,                0.22437,                0.33262,                0.26829,                0.19678,                 0.1072,                  1.058,                 2.9668,                 2.0488,                 1.1912,             0.00041931,             0.00041931,             0.00041931
                     38,                0.97405,                 1.9426,                0.98705,                0.97425,                0.46695,                0.38472,                0.34502,                 0.2343,                0.34334,                0.29268,                0.18547,                0.10599,                 1.0824,                 2.7989,                 2.0022,                 1.2205,              0.0004011,              0.0004011,              0.0004011
                     39,                0.96971,                 2.0117,                  1.044,                 1.0144,                0.50192,                0.39024,                0.38465,                0.26333,                0.33777,                0.29268,                0.22832,                0.13903,                 1.1051,                  2.638,                 1.9601,                 1.2394,              0.0003813,              0.0003813,              0.0003813
                     40,                 0.9418,                 1.9518,                 1.0009,                0.98236,                0.50192,                0.39024,                0.38465,                0.26333,                0.33777,                0.29268,                0.22832,                0.13903,                 1.1051,                  2.638,                 1.9601,                 1.2394,             0.00035992,             0.00035992,             0.00035992
                     41,                0.91134,                 1.7481,                 1.0898,                0.97262,                0.63066,                0.31707,                 0.4131,                0.26409,                0.36953,                0.29268,                0.25714,                0.14916,                 1.1148,                 2.6457,                 1.9313,                 1.2196,             0.00033696,             0.00033696,             0.00033696
                     42,                0.88226,                  1.701,                 1.1392,                0.98442,                0.51598,                0.36585,                0.42161,                0.26938,                0.38205,                0.36585,                0.27402,                0.14508,                 1.1349,                 2.6293,                 1.9352,                 1.1977,             0.00031241,             0.00031241,             0.00031241
                     43,                0.94391,                 1.7685,                 1.1731,                 1.0352,                0.51598,                0.36585,                0.42161,                0.26938,                0.38205,                0.36585,                0.27402,                0.14508,                 1.1349,                 2.6293,                 1.9352,                 1.1977,             0.00028628,             0.00028628,             0.00028628
                     44,                0.90316,                 1.6751,                 1.0373,                0.98677,                0.62954,                0.33186,                0.40907,                 0.2703,                0.38567,                0.36753,                0.29366,                0.16016,                 1.1148,                 2.7122,                 1.8908,                  1.209,             0.00025856,             0.00025856,             0.00025856
                     45,                0.91559,                 1.5909,                 1.0145,                  0.983,                0.62954,                0.33186,                0.40907,                 0.2703,                0.38567,                0.36753,                0.29366,                0.16016,                 1.1148,                 2.7122,                 1.8908,                  1.209,             0.00022926,             0.00022926,             0.00022926
                     46,                0.90038,                 1.6976,                 1.0613,                 1.0057,                0.52187,                0.41463,                0.44717,                0.29286,                0.42743,                0.39024,                0.30509,                0.16344,                 1.0864,                 2.6294,                 1.8627,                 1.1871,             0.00019838,             0.00019838,             0.00019838
                     47,                0.89159,                 1.6777,                 1.1421,                0.97336,                0.52187,                0.41463,                0.44717,                0.29286,                0.42743,                0.39024,                0.30509,                0.16344,                 1.0864,                 2.6294,                 1.8627,                 1.1871,             0.00016591,             0.00016591,             0.00016591
                     48,                0.86048,                 1.6392,                0.98061,                0.97253,                0.54244,                0.39024,                0.45653,                 0.3115,                0.40637,                0.39024,                0.32197,                0.17712,                 1.0761,                  2.654,                 1.8032,                 1.1875,             0.00013186,             0.00013186,             0.00013186
                     49,                0.88762,                  1.701,                 1.0193,                0.97106,                0.54244,                0.39024,                0.45653,                 0.3115,                0.40637,                0.39024,                0.32197,                0.17712,                 1.0761,                  2.654,                 1.8032,                 1.1875,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                0.87339,                 1.7016,                 1.0664,                0.99133,                0.52454,                0.45757,                0.46872,                0.32036,                0.38126,                0.43902,                0.33561,                0.18656,                 1.0586,                 2.6252,                 1.7492,                 1.1889,             5.9004e-05,             5.9004e-05,             5.9004e-05
